Source,Target
counsel,BLHar6580
counsel,BLLan344
counsel,BLRoy8Ev
counsel,UnivLon657
counsel,RylandsLat341
counsel,Ushaw28
counsel,TCD159
counsel,TCD351
counsel,YaleBeiOsfa2
counsel,HunHM124
counsel,Urbana71
counsel,TokyoTak96
advice,BodLauMis513
advice,BodLauMis104
advice,Bod89
advice,Bod61
advice,BodGreaves54
advice,BodHat97
advice,BodRawC401
advice,BodAddA268
advice,BodEngTheole16
advice,OxfCCC155
advice,CULAdd6150
advice,CULDd451
advice,CULDd1426
advice,CULFf114
advice,CULHh113
advice,CamJes51
advice,CamPem285
advice,CamStJohn176
advice,CamSidney55
advice,BLAdd10052
advice,BLAdd15237
advice,BLAdd21202
advice,BLAdd22121
advice,BLHar206
advice,BLHar1197
advice,BLHar1288
advice,BLHar2388
advice,BLHar6580
advice,BLLan344
advice,BLRoy8Ev
advice,UnivLon657
advice,RylandsLat341
advice,Ushaw28
advice,TCD159
advice,TCD351
advice,YaleBeiOsfa2
advice,HunHM124
advice,Urbana71
advice,TokyoTak96
heaven,BlCottCalAII
heaven,Banna
advice,BlCottCalAII
advice,Banna
visions,BlCottCalAII
visions,Banna
advice,BodEngPoeta1
advice,CamMagPep1584
advice,BLAdd22283
advice,BLHar78
advice,Lam853
advice,StGeorgEII
Ten Commandments,BodEngPoeta1
Ten Commandments,CamMagPep1584
Ten Commandments,BLAdd22283
Ten Commandments,BLHar78
Ten Commandments,Lam853
Ten Commandments,StGeorgEII
advice,BLHar2316
advice,CamTCC323
paraphrases,CamTCC323
advice,CamMagPep2125
tongue,PierpontAcc53095
advice,PierpontAcc53095
carols,OxfBal354
advice,OxfBal354
advice,CamStJohn195
repentance,CamStJohn195
advice,CULIi38
sermons,CULIi38
advice,BLHar485
advice,NLS18721
advice,DULCosViii9
love,DULCosViii9
lechery,NLS18721
advice,NLS18721
translations,NLS18721
advice,NLS18721
translations,NLS18721
tongue,NLS18721
tongue,BLAdd17013
tongue,OxfMert248
tongue,NLS18721
tongue,HunHM147
advice,BLAdd17013
advice,OxfMert248
advice,NLS18721
advice,HunHM147
translations,BLAdd17013
translations,OxfMert248
translations,NLS18721
translations,HunHM147
translations,BodEngmiscc291
advice,BodEngmiscc291
Paul,BodEngPoeta1
Paul,BLAdd22283
advice,BodEngPoeta1
advice,BLAdd22283
advice,VandADyce45
counsel,VandADyce45
virtues,VandADyce45
contemporary conditions,VandADyce45
evils of the time,VandADyce45
sermons,CamJes13
proverbs,CamJes13
advice,CamJes13
laments,LeicesterBRII33
proverbs,LeicesterBRII33
advice,LeicesterBRII33
advice,TCD490
advice,BodTan407
advice,BodRawC86
advice,BlCottCalAII
advice,Lam853
sinners,BodTan407
sinners,BodRawC86
sinners,BlCottCalAII
sinners,Lam853
virtues,BodTan407
virtues,BodRawC86
virtues,BlCottCalAII
virtues,Lam853
advice,BLHar7322
translations,BLHar7322
mottoes,CULHh411
advice,CULHh411
advice,OxfBal354
advice,CULLl510
advice,CamMagPep2553
death,NLS18721
advice,NLS18721
advice,CULKk424
advice,BodRawPoe32
advice,OxfBal354
advice,CULEe435a
advice,CULEe437
advice,BLHar2252
advice,BLHar2391
mnemonics,BodRawPoe32
mnemonics,OxfBal354
mnemonics,CULEe435a
mnemonics,CULEe437
mnemonics,BLHar2252
mnemonics,BLHar2391
advice,CamGon249
advice,CamMagPep2125
advice,BLAdd60577
advice,CamMagPep2553
advice,Banna
repentance,CamMagPep2553
repentance,Banna
advice,CamTCC323
inscriptions,CamMag13
inscriptions,BodTan201
advice,CamMag13
advice,BodTan201
death,CamMag13
death,BodTan201
advice,NLWPen356
sermons,BodLatTheD1
Christ,BodLatTheD1
advice,BodLatTheD1
advice,BodAsh750
paraphrases,Bod42
advice,Bod42
evils of the time,BodRawPoe36
evils of the time,BLHar5396
evils of the time,BLRoy18Cii
evils of the time,BLAdd60577
precepts,BodRawPoe36
precepts,BLHar5396
precepts,BLRoy18Cii
precepts,BLAdd60577
advice,BodRawPoe36
advice,BLHar5396
advice,BLRoy18Cii
advice,BLAdd60577
transitoriness,BodRawPoe36
transitoriness,BLHar5396
transitoriness,BLRoy18Cii
transitoriness,BLAdd60577
poverty,BodRawPoe36
poverty,BLHar5396
poverty,BLRoy18Cii
poverty,BLAdd60577
money,BodRawPoe36
money,BLHar5396
money,BLRoy18Cii
money,BLAdd60577
advice,BodRawPoe32
advice,BLHar4486
advice,Bod187
advice,Bod410
advice,BodLauMis111
advice,BodLauMis213
advice,BodRawC670
advice,CamGon71
advice,CamGon364
advice,CamStJohn159
advice,NLS18721
advice,EDU82
advice,Lincoln44
advice,Spalding
advice,WorcF19
advice,VaticanOtto
sermons,Bod187
sermons,Bod410
sermons,BodLauMis111
sermons,BodLauMis213
sermons,BodRawC670
sermons,CamGon71
sermons,CamGon364
sermons,CamStJohn159
sermons,NLS18721
sermons,EDU82
sermons,Lincoln44
sermons,Spalding
sermons,WorcF19
sermons,VaticanOtto
advice,BodLauMis213
advice,BodLauMis111
advice,Bod410
advice,BodRawC670
advice,CamGon71
advice,CamGon364
advice,CamStJohn159
advice,EDU82
advice,Lincoln44
advice,Spalding
advice,WorcF19
advice,VaticanOtto
virtues,HunHM744
advice,HunHM744
fragments,NLS1931
advice,NLS1931
translations,BLAdd11579
advice,BLAdd11579
advice,OxfBal354
sermons,BodLauMis213
sermons,Bod187
sermons,Bod410
sermons,BodRawC670
sermons,CamGon364
sermons,Lincoln44
sermons,WorcF19
advice,BodLauMis213
advice,Bod187
advice,Bod410
advice,BodRawC670
advice,CamGon364
advice,Lincoln44
advice,WorcF19
introductions,RylandsLat395
advice,RylandsLat395
advice,CamStJohn195
virtues,CamStJohn195
transitoriness,CamStJohn195
advice,BodDig102
advice,BLHar2255
advice,ExeterSammelband
self knowledge,ExeterSammelband
advice,CamMagPep2553
advice,Banna
introductions,BLHar1197
introductions,HunHM124
introductions,BodDou107
prayers,BLHar1197
prayers,HunHM124
prayers,BodDou107
advice,BLHar1197
advice,HunHM124
advice,BodDou107
advice,CamStJohn195
precepts,CamStJohn195
death,CamStJohn195
old age,BodAsh59
old age,CULFf49
old age,BLHar2251
old age,BLHar367
precepts,BodAsh59
precepts,CULFf49
precepts,BLHar2251
precepts,BLHar367
advice,BodAsh59
advice,CULFf49
advice,BLHar2251
advice,BLHar367
prologues,BodAsh59
prologues,CULFf49
prologues,BLHar2251
prologues,BLHar367
advice,CamJes59
death,CamMagPep2553
advice,CamMagPep2553
vanity,CamMagPep2553
advice,BLAdd5665
speech,BLRoy17Axxvii
advice,BLRoy17Axxvii
advice,BodTan201
repentance,CamStJohn195
advice,CamStJohn195
advice,BLHar2252
advice,CantFrag
advice,HunHM111
dialogues,CantFrag
dialogues,HunHM111
advice,BodDou322
advice,BLHar1706
advice,CULFf545
advice,BodAsh59
advice,BLAdd29729
advice,Lincoln91
sermons,CULKk424
advice,CULKk424
songs,CULKk424
advice,CULHh412
advice,CULHh411
precepts,CULHh411
wits,BLHar7322
advice,BLHar7322
aphorisms,GraysInn12
advice,GraysInn12
hunting,BLHar2202
advice,BLHar2202
advice,StPauls9Dxix
birds,OxfBal354
birds,OxfChrCh152
birds,CULHh412
birds,CULKk16
birds,CamTCC599
birds,BlCottCalAII
birds,BLHar116
birds,BLHar2407
birds,BLLan699
birds,Lincoln129
birds,Longleat258
birds,Austin143
birds,BosPLMed92
birds,HunHM144
birds,Leiden
fabliaux,OxfBal354
fabliaux,OxfChrCh152
fabliaux,CULHh412
fabliaux,CULKk16
fabliaux,CamTCC599
fabliaux,BlCottCalAII
fabliaux,BLHar116
fabliaux,BLHar2407
fabliaux,BLLan699
fabliaux,Lincoln129
fabliaux,Longleat258
fabliaux,Austin143
fabliaux,BosPLMed92
fabliaux,HunHM144
fabliaux,Leiden
advice,OxfBal354
advice,OxfChrCh152
advice,CULHh412
advice,CULKk16
advice,CamTCC599
advice,BlCottCalAII
advice,BLHar116
advice,BLHar2407
advice,BLLan699
advice,Lincoln129
advice,Longleat258
advice,Austin143
advice,BosPLMed92
advice,HunHM144
advice,Leiden
envoys,OxfBal354
envoys,OxfChrCh152
envoys,CULHh412
envoys,CULKk16
envoys,CamTCC599
envoys,BlCottCalAII
envoys,BLHar116
envoys,BLHar2407
envoys,BLLan699
envoys,Lincoln129
envoys,Longleat258
envoys,Austin143
envoys,BosPLMed92
envoys,HunHM144
envoys,Leiden
proverbs,BLAdd60577
advice,BLAdd60577
precepts,BLAdd60577
advice,NLS18721
advice,PULTayM5
death,PULTayM5
advice,CamMagPep2553
youth,NottsULMeLm1
advice,NottsULMeLm1
counsel,NottsULMeLm1
advice,Banna
advice,VandADyce45
advice,BLHar665
advice,PierpontB21
advice,NLS18721
translations,NLS18721
advice,NLS18721
advice,NLS18721
Robin Hood,NottsULMeLm1
advice,NottsULMeLm1
advice,CULKk15
advice,Banna
political poems,CULKk15
political poems,Banna
advice,BLAdd24194
advice,BLHar1900
advice,HunHM28561
